"article_name","year","yrwk_start","yrwk_end","month","week","sales","category_1","category_2","promo_01","promo_02","promo_03","promo_04","promo_05"
"1","M-CLAS JOGHURT MOKKA 200G",2016,"2016-01-04","2016-01-10",1,1,26572,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"2","M-CLAS JOGHURT MOKKA 200G",2016,"2016-01-11","2016-01-17",1,2,25472,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"3","M-CLAS JOGHURT MOKKA 200G",2016,"2016-01-18","2016-01-24",1,3,25339,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"4","M-CLAS JOGHURT MOKKA 200G",2016,"2016-01-25","2016-01-31",1,4,14017,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"5","M-CLAS JOGHURT MOKKA 200G",2016,"2016-02-01","2016-02-07",2,5,19079,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"6","M-CLAS JOGHURT MOKKA 200G",2016,"2016-02-08","2016-02-14",2,6,23880,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"7","M-CLAS JOGHURT MOKKA 200G",2016,"2016-02-15","2016-02-21",2,7,24285,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"8","M-CLAS JOGHURT MOKKA 200G",2016,"2016-02-22","2016-02-28",2,8,14329,"KLASSISCHE JOGHURT","JOGHURT STANDARD",1,0,0,0,0
"9","M-CLAS JOGHURT MOKKA 200G",2016,"2016-02-29","2016-03-06",3,9,19707,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"10","M-CLAS JOGHURT MOKKA 200G",2016,"2016-03-07","2016-03-13",3,10,24709,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"11","M-CLAS JOGHURT MOKKA 200G",2016,"2016-03-14","2016-03-20",3,11,25311,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"12","M-CLAS JOGHURT MOKKA 200G",2016,"2016-03-21","2016-03-27",3,12,14446,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"13","M-CLAS JOGHURT MOKKA 200G",2016,"2016-03-28","2016-04-03",3,13,16857,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"14","M-CLAS JOGHURT MOKKA 200G",2016,"2016-04-04","2016-04-10",4,14,23471,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"15","M-CLAS JOGHURT MOKKA 200G",2016,"2016-04-11","2016-04-17",4,15,23600,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"16","M-CLAS JOGHURT MOKKA 200G",2016,"2016-04-18","2016-04-24",4,16,13356,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"17","M-CLAS JOGHURT MOKKA 200G",2016,"2016-04-25","2016-05-01",4,17,18980,"KLASSISCHE JOGHURT","JOGHURT STANDARD",1,0,1,0,0
"18","M-CLAS JOGHURT MOKKA 200G",2016,"2016-05-02","2016-05-08",5,18,22039,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"19","M-CLAS JOGHURT MOKKA 200G",2016,"2016-05-09","2016-05-15",5,19,26411,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"20","M-CLAS JOGHURT MOKKA 200G",2016,"2016-05-16","2016-05-22",5,20,23065,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"21","M-CLAS JOGHURT MOKKA 200G",2016,"2016-05-23","2016-05-29",5,21,23557,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"22","M-CLAS JOGHURT MOKKA 200G",2016,"2016-05-30","2016-06-05",6,22,26258,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"23","M-CLAS JOGHURT MOKKA 200G",2016,"2016-06-06","2016-06-12",6,23,24035,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"24","M-CLAS JOGHURT MOKKA 200G",2016,"2016-06-13","2016-06-19",6,24,24120,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,1,0,0
"25","M-CLAS JOGHURT MOKKA 200G",2016,"2016-06-20","2016-06-26",6,25,23320,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"26","M-CLAS JOGHURT MOKKA 200G",2016,"2016-06-27","2016-07-03",6,26,24058,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"27","M-CLAS JOGHURT MOKKA 200G",2016,"2016-07-04","2016-07-10",7,27,21379,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"28","M-CLAS JOGHURT MOKKA 200G",2016,"2016-07-11","2016-07-17",7,28,11845,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"29","M-CLAS JOGHURT MOKKA 200G",2016,"2016-07-18","2016-07-24",7,29,13566,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"30","M-CLAS JOGHURT MOKKA 200G",2016,"2016-07-25","2016-07-31",7,30,19147,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"31","M-CLAS JOGHURT MOKKA 200G",2016,"2016-08-01","2016-08-07",8,31,20051,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"32","M-CLAS JOGHURT MOKKA 200G",2016,"2016-08-08","2016-08-14",8,32,22358,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"33","M-CLAS JOGHURT MOKKA 200G",2016,"2016-08-15","2016-08-21",8,33,23346,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"34","M-CLAS JOGHURT MOKKA 200G",2016,"2016-08-22","2016-08-28",8,34,12451,"KLASSISCHE JOGHURT","JOGHURT STANDARD",1,0,0,0,0
"35","M-CLAS JOGHURT MOKKA 200G",2016,"2016-08-29","2016-09-04",9,35,18195,"KLASSISCHE JOGHURT","JOGHURT STANDARD",1,0,0,0,0
"36","M-CLAS JOGHURT MOKKA 200G",2016,"2016-09-05","2016-09-11",9,36,22581,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"37","M-CLAS JOGHURT MOKKA 200G",2016,"2016-09-12","2016-09-18",9,37,23828,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"38","M-CLAS JOGHURT MOKKA 200G",2016,"2016-09-19","2016-09-25",9,38,23705,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"39","M-CLAS JOGHURT MOKKA 200G",2016,"2016-09-26","2016-10-02",9,39,24848,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"40","M-CLAS JOGHURT MOKKA 200G",2016,"2016-10-03","2016-10-09",10,40,22723,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"41","M-CLAS JOGHURT MOKKA 200G",2016,"2016-10-10","2016-10-16",10,41,22581,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"42","M-CLAS JOGHURT MOKKA 200G",2016,"2016-10-17","2016-10-23",10,42,24693,"KLASSISCHE JOGHURT","JOGHURT STANDARD",1,0,1,0,0
"43","M-CLAS JOGHURT MOKKA 200G",2016,"2016-10-24","2016-10-30",10,43,13766,"KLASSISCHE JOGHURT","JOGHURT STANDARD",1,0,0,0,0
"44","M-CLAS JOGHURT MOKKA 200G",2016,"2016-10-31","2016-11-06",11,44,18922,"KLASSISCHE JOGHURT","JOGHURT STANDARD",1,0,0,0,0
"45","M-CLAS JOGHURT MOKKA 200G",2016,"2016-11-07","2016-11-13",11,45,23846,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"46","M-CLAS JOGHURT MOKKA 200G",2016,"2016-11-14","2016-11-20",11,46,24477,"KLASSISCHE JOGHURT","JOGHURT STANDARD",1,0,0,0,0
"47","M-CLAS JOGHURT MOKKA 200G",2016,"2016-11-21","2016-11-27",11,47,25567,"KLASSISCHE JOGHURT","JOGHURT STANDARD",1,0,1,0,0
"48","M-CLAS JOGHURT MOKKA 200G",2016,"2016-11-28","2016-12-04",12,48,14391,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,1,0,0
"49","M-CLAS JOGHURT MOKKA 200G",2016,"2016-12-05","2016-12-11",12,49,17386,"KLASSISCHE JOGHURT","JOGHURT STANDARD",1,0,1,0,0
"50","M-CLAS JOGHURT MOKKA 200G",2016,"2016-12-12","2016-12-18",12,50,14474,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"51","M-CLAS JOGHURT MOKKA 200G",2016,"2016-12-19","2016-12-25",12,51,19771,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"52","M-CLAS JOGHURT MOKKA 200G",2016,"2016-12-26","2017-01-01",12,52,16878,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"53","M-CLAS JOGHURT MOKKA 200G",2017,"2017-01-02","2017-01-08",1,1,21911,"KLASSISCHE JOGHURT","JOGHURT STANDARD",1,0,0,0,0
"54","M-CLAS JOGHURT MOKKA 200G",2017,"2017-01-09","2017-01-15",1,2,25476,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"55","M-CLAS JOGHURT MOKKA 200G",2017,"2017-01-16","2017-01-22",1,3,24257,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
